OneGoal ID,Selectivity,College/University,Recommended Institution,Grad Rate Quartile,Website,Opportunity Programs,City,State,Region,Sector,Locale,Size,% Pell Grant,% African American,% Hispanic,% In State,HBCU,Hispanic Serving Institution,On Campus Housing?,6 Year Grad Rate (Overall),6 Year Grad Rate (Minority),Grad Rate Quartile,Net Price: 0-30,Median Debt of Graduates,Median Salary After Attending,Percent Earning Over HS Grad,CUNY/SUNY
13258,Two-Year College,SUNY Adirondack Community College,,Q3 (BOTTOM 50 - 75%),www.sunyacc.edu,EOP,Queensbury,NY,New York,Public,Suburb,"Small (1,000-5,000)",50,3,4,98,,,Yes,24,13,Q3 (BOTTOM 50 - 75%),"$4,655 ","$13,000 ","$21,900 ",45,SUNY
13289,Two-Year College,SUNY Hudson Valley Community College,,Q3 (BOTTOM 50 - 75%),www.hvcc.edu,EOP,Troy,NY,New York,Public,City,"Medium (5,000-15,000)",47,10,6,97,,,No,26,13,Q3 (BOTTOM 50 - 75%),"$5,831 ","$11,650 ","$22,300 ",44,SUNY
13312,Two-Year College,SUNY Rockland Community College,,Q3 (BOTTOM 50 - 75%),www.sunyrockland.edu/,,Suffern,NY,New York,Public,Suburb,"Small (1,000-5,000)",39,18,22,96,,,No,29,13,Q3 (BOTTOM 50 - 75%),"$6,825 ","$8,825 ","$48,800 ",84,SUNY
13272,Two-Year College,SUNY North Country Community College,,Q3 (BOTTOM 50 - 75%),www.nccc.edu,,Saranac Lake,NY,New York,Public,Town,"Very Small (<1,000)",55,2,1,93,,,Yes,27,12,Q3 (BOTTOM 50 - 75%),"$7,982 ","$12,000 ",,,SUNY
13293,Two-Year College,SUNY Niagara County Community College,,Q3 (BOTTOM 50 - 75%),www.niagaracc.suny.edu,,Sanborn,NY,New York,Public,Rural,"Small (1,000-5,000)",20,11,4,99,,,No,28,12,Q3 (BOTTOM 50 - 75%),"$2,988 ","$10,700 ","$42,300 ",67,SUNY
13308,Two-Year College,Monroe Community College,,Q3 (BOTTOM 50 - 75%),www.monroecc.edu/,,Rochester,NY,New York,Public,Suburb,"Medium (5,000-15,000)",60,19,9,98,,,Yes,23,12,Q3 (BOTTOM 50 - 75%),"$4,349 ","$12,000 ","$62,000 ",88,
13316,Two-Year College,SUNY Suffolk County Community College Central Administration,,Q3 (BOTTOM 50 - 75%),www3.sunysuffolk.edu,EOP,Selden,NY,New York,Public,Suburb,"Medium (5,000-15,000)",56,8,22,99,,,No,21,12,Q3 (BOTTOM 50 - 75%),"$5,478 ","$8,000 ","$23,600 ",46,SUNY
13324,Two-Year College,Samaritan Hospital School of Nursing,,Q4 (BOTTOM 75 - 100%),www.sphp.com/SON,,Troy,NY,New York,Private not-for-profit,City,"Very Small (<1,000)",50,8,0,100,,,No,0,,Q4 (BOTTOM 75 - 100%),"$13,958 ","$13,100 ","$30,200 ",60,
13265,Two-Year College,CUNY Queensborough Community College,,Q4 (BOTTOM 75 - 100%),www.qcc.cuny.edu,"Apple Corps
ASAP
College Discovery",Bayside,NY,New York,Public,City,"Medium (5,000-15,000)",68,22,33,98,,,No,22,11,Q4 (BOTTOM 75 - 100%),"$6,821 ","$7,978 ","$71,200 ",86,CUNY
13280,Two-Year College,Bryant & Stratton College at Henrietta,,Q4 (BOTTOM 75 - 100%),www.bryantstratton.edu/,,Rochester,NY,New York,Private for-profit,Suburb,"Very Small (<1,000)",88,40,7,100,,,No,33,11,Q4 (BOTTOM 75 - 100%),"$14,828 ","$24,261 ","$29,000 ",60,
13287,Two-Year College,CUNY LaGuardia Community College,,Q4 (BOTTOM 75 - 100%),www.lagcc.cuny.edu,"Apple Corps
ASAP
College Discovery",Long Island City,NY,New York,Public,City,"Medium (5,000-15,000)",71,17,47,92,,Yes,No,20,11,Q4 (BOTTOM 75 - 100%),"$8,899 ","$6,000 ","$50,600 ",79,CUNY
13309,Two-Year College,SUNY Nassau Community College,,Q4 (BOTTOM 75 - 100%),www.ncc.edu/,,Garden City,NY,New York,Public,Suburb,"Medium (5,000-15,000)",51,22,26,99,,,No,22,11,Q4 (BOTTOM 75 - 100%),"$1,506 ","$10,250 ","$42,900 ",77,SUNY
13320,Two-Year College,SUNY Cayuga Community College,,Q4 (BOTTOM 75 - 100%),www.cayuga-cc.edu/,,Auburn,NY,New York,Public,Town,"Small (1,000-5,000)",64,5,4,97,,,No,24,11,Q4 (BOTTOM 75 - 100%),"$3,259 ","$12,097 ","$28,300 ",57,SUNY
13267,Two-Year College,SUNY Erie Community College City Campus,,Q4 (BOTTOM 75 - 100%),www.ecc.edu,EOP,Buffalo,NY,New York,Public,City,"Medium (5,000-15,000)",62,15,4,98,,,No,22,10,Q4 (BOTTOM 75 - 100%),"$2,883 ","$8,600 ",,,SUNY
13273,Two-Year College,SUNY Orange County Community College,,Q4 (BOTTOM 75 - 100%),www.sunyorange.edu/,,Middletown,NY,New York,Public,Suburb,"Small (1,000-5,000)",45,11,28,98,,,No,24,10,Q4 (BOTTOM 75 - 100%),"$1,970 ","$12,000 ","$30,300 ",61,SUNY
13291,Two-Year College,SUNY Jefferson Community College,,Q4 (BOTTOM 75 - 100%),www.sunyjefferson.edu,,Watertown,NY,New York,Public,City,"Small (1,000-5,000)",59,7,10,97,,,Yes,27,10,Q4 (BOTTOM 75 - 100%),"$7,237 ","$9,245 ",,,SUNY
13301,Two-Year College,CUNY Borough of Manhattan Community College,,Q4 (BOTTOM 75 - 100%),www.bmcc.cuny.edu/,"Apple Corps
ASAP
College Discovery
Learning Academy",New York,NY,New York,Public,City,"Large (15,000+)",77,27,44,97,,Yes,No,18,10,Q4 (BOTTOM 75 - 100%),"$7,564 ","$8,779 ","$30,700 ",59,CUNY
13307,Two-Year College,SUNY Mohawk Valley Community College,,Q4 (BOTTOM 75 - 100%),www.mvcc.edu,,Utica,NY,New York,Public,City,"Small (1,000-5,000)",68,8,7,98,,,Yes,28,10,Q4 (BOTTOM 75 - 100%),"$4,697 ","$12,000 ","$37,700 ",70,SUNY
13321,Two-Year College,SUNY Genesee Community College,,Q4 (BOTTOM 75 - 100%),www.genesee.edu,EOP,Batavia,NY,New York,Public,Town,"Small (1,000-5,000)",70,6,4,94,,,Yes,26,10,Q4 (BOTTOM 75 - 100%),"$1,432 ","$11,000 ","$29,900 ",60,SUNY
13283,Two-Year College,SUNY Clinton Community College (N.Y.),,Q4 (BOTTOM 75 - 100%),www.clinton.edu,,Plattsburgh,NY,New York,Public,Town,"Very Small (<1,000)",56,5,2,97,,,Yes,29,9,Q4 (BOTTOM 75 - 100%),"$5,353 ","$12,000 ","$16,700 ",32,SUNY
13286,Two-Year College,CUNY Hostos Community College,,Q4 (BOTTOM 75 - 100%),www.hostos.cuny.edu,"Apple Corps
ASAP
College Discovery",Bronx,NY,New York,Public,City,"Small (1,000-5,000)",85,26,63,98,,Yes,No,20,9,Q4 (BOTTOM 75 - 100%),"$7,516 ","$9,000 ","$35,900 ",68,CUNY
13295,Two-Year College,SUNY Tompkins Cortland Community College,,Q4 (BOTTOM 75 - 100%),www.TC3.edu,,Dryden,NY,New York,Public,Town,"Small (1,000-5,000)",68,13,10,97,,,Yes,26,9,Q4 (BOTTOM 75 - 100%),"$7,347 ","$12,000 ","$32,700 ",63,SUNY
13275,Two-Year College,SUNY Schenectady County Community College,,Q4 (BOTTOM 75 - 100%),sunysccc.edu,EOP,Schenectady,NY,New York,Public,City,"Small (1,000-5,000)",69,15,7,99,,,No,20,8,Q4 (BOTTOM 75 - 100%),"$3,905 ",,"$22,700 ",45,SUNY
13277,Two-Year College,SUNY Westchester Community College,,Q4 (BOTTOM 75 - 100%),www.sunywcc.edu,EOP,Valhalla,NY,New York,Public,Suburb,"Medium (5,000-15,000)",55,22,33,98,,,No,15,8,Q4 (BOTTOM 75 - 100%),"$5,778 ","$8,786 ","$41,900 ",77,SUNY
13310,Two-Year College,SUNY Onondaga Community College,,Q4 (BOTTOM 75 - 100%),www.sunyocc.edu,EOP,Syracuse,NY,New York,Public,Suburb,"Medium (5,000-15,000)",62,12,5,98,,,Yes,20,8,Q4 (BOTTOM 75 - 100%),"$5,294 ","$10,500 ","$82,100 ",95,SUNY
13314,Two-Year College,SUNY Sullivan County Community College,,Q4 (BOTTOM 75 - 100%),www.sunysullivan.edu/,,Loch Sheldrake,NY,New York,Public,Rural,"Very Small (<1,000)",66,20,22,97,,,Yes,25,8,Q4 (BOTTOM 75 - 100%),"$4,826 ","$10,000 ","$22,100 ",45,SUNY
13318,Two-Year College,SUNY Broome Community College,,Q4 (BOTTOM 75 - 100%),WWW.SUNYBROOME.EDU,EOP,Binghamton,NY,New York,Public,Suburb,"Small (1,000-5,000)",57,9,7,95,,,Yes,29,8,Q4 (BOTTOM 75 - 100%),"$4,260 ","$11,477 ","$53,300 ",84,SUNY
13263,Two-Year College,CUNY Bronx Community College,,Q4 (BOTTOM 75 - 100%),www.bcc.cuny.edu,"Apple Corps
ASAP
College Discovery",Bronx,NY,New York,Public,City,"Medium (5,000-15,000)",83,28,64,99,,Yes,No,16,7,Q4 (BOTTOM 75 - 100%),"$6,994 ","$8,547 ","$30,700 ",61,CUNY
